AÑO;MES;PAIS_ORIGEN;CCAA;KEY;PROVINCIA;INIDICE_PERCEPCION_TURISTICA_GLOBAL;INDICE_SATISFACCION_PRODUCTOS_TURISTICOS;INDICE_PERCEPCION_SEGURIDAD;INDICE_PERCEPCION_CLIMATICA;Afluencia
2022;11;Total;Castilla - La Mancha;2022Castilla - La Mancha;Cuenca;86,98;69,7;92,53;93,25;8851320
2022;11;Total;Castilla - La Mancha;2022Castilla - La Mancha;Guadalajara;84,59;68,44;83,95;95,48;8851320
2022;11;Total;Castilla - La Mancha;2022Castilla - La Mancha;Toledo;85,14;70,55;89,21;88,85;8851320
2022;11;Total;Castilla y León;2022Castilla y León;Burgos;83,97;69,18;90,76;83,96;19908870
2022;11;Total;Castilla y León;2022Castilla y León;León;81,23;66,94;83,46;84,46;19908870
2022;11;Total;Castilla y León;2022Castilla y León;Palencia;83,92;68,65;91,96;82,94;19908870
2022;11;Total;Castilla y León;2022Castilla y León;Salamanca;82,79;64,69;88,69;87,09;19908870
2022;11;Total;Castilla y León;2022Castilla y León;Segovia;81,8;66,2;88,63;81,42;19908870
2022;11;Total;Castilla y León;2022Castilla y León;Soria;82,93;68,41;87,48;84,66;19908870
2022;11;Total;Castilla y León;2022Castilla y León;Valladolid;81,92;65,09;91,27;80,03;19908870
2022;11;Total;Castilla y León;2022Castilla y León;Zamora;79,01;64,86;79,97;82,26;19908870
2022;11;Total;Castilla y León;2022Castilla y León;Ávila;84,16;74,08;91,96;77,39;19908870
2022;11;Total;Cataluña;2022Cataluña;Barcelona;81,58;61,92;87,15;87,42;147148600
2022;11;Total;Cataluña;2022Cataluña;Girona;82,03;71,01;78,47;88,74;147148600
2022;11;Total;Cataluña;2022Cataluña;Lleida;79,74;61,86;77,87;91,3;147148600
2022;11;Total;Cataluña;2022Cataluña;Tarragona;80,56;67,58;79,65;85,56;147148600
